Group,SampleID,pc1end,pc2end,Roost,CollectionMonth,Site,Labeler,pc1start,pc2start,DistMethod,Pid
EN-C-June,6212017EGC5,0.225073624630775,0.0105862784361664,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EGC6,0.108159951873876,-0.0633229015221377,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EGC7,0.410490549620654,0.0711345358339346,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EGC8,0.201528745401115,-0.0885541878479522,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EGC9,0.400462547261799,0.0149061620663186,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EgnerPoolC4,0.000176361815996188,-0.0950225046206801,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EgnerPoolC1,-0.00959408499548193,-0.114851580707138,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EgnerPoolC2,-0.027748774604174,-0.0957649777283606,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EgnerPoolC3,0.0051298051619917,-0.103854307647877,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-September,9152017EGC7,0.122043841115238,0.0694928669817481,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EGC10,0.262636274617893,-0.122028604357716,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EGC2,0.0993015596535899,0.00138119990872499,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EGC8,-0.353132106457392,0.48745510653055,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EGC9,0.351573273030409,0.115740021003393,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EGC1,-0.153935255683501,-0.187878818789077,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EGC6,-0.218999870273226,-0.22298976225442,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EgnerPoolC2,-0.234358977925978,-0.241308709993285,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EGC3,-0.222372343912422,-0.221748682774383,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EGC4,-0.111078180639047,-0.0679635399107071,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EgnerPoolC1,-0.253951889473879,-0.214708153945892,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EgnerPoolC3,-0.267832627347801,-0.142694799445966,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EGC5,0.253150375048199,0.081884493565828,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-C-September,9152017EgnerPoolC4,-0.264883917740094,-0.228728794203363,C,September,EN,EN-C,-0.14308086188109,-0.135660193228726,morisita,pid=99
EN-D-July,7272017EGD10,-0.121647780271092,-0.29425207334706,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
EN-D-July,7272017EGD5,-0.00518040882746701,-0.0162379043475261,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
EN-D-July,7272017EGD2,-0.239359956584943,0.545212447480327,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
EN-D-July,7272017EGD3,-0.267637989037708,-0.141523671787391,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
EN-D-July,7272017EGD4,-0.221894084768113,-0.32823140615966,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
EN-D-July,7272017EGD9,-0.0871712848484209,-0.0231174046076275,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
EN-D-July,7272017EGD6,0.108085600490187,-0.0012555627791935,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
EN-D-July,7272017EGD7,-0.0181940844472497,-0.0241026482698132,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
EN-D-July,7272017EGD8,0.0314138644173822,0.106097522283241,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
EN-D-July,7272017EGD1,-0.0686496854551821,0.0934718656783885,D,July,EN,EN-D,-0.173367282759515,-0.222802526471061,morisita,pid=99
