Feature ID	Taxon	Consensus
0cff06a5d3e5ce3b3e034ecee9dc5a49	Animalia;Arthropoda;Insecta;Lepidoptera;Gracillariidae;Cameraria;Cameraria hamadryadella	1.0
e41a4de9986baa7110bc1d0f7ec0361d	Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;Pandemis;Ambiguous_taxa	0.7
99a6d7ce68740592d9fb7bdcee3aba1c	Unassigned	1.0
cfbee16896e6a5da9f4fb54e67566569	Animalia;Arthropoda;Insecta;Hemiptera;Pentatomidae;Dendrocoris;Dendrocoris humeralis	1.0
5a85a28454d499be9bea09a9a32f93b6	Unassigned	1.0
c5b4907aa864d6de4d910509d88c3bfb	Animalia;Arthropoda;Insecta;Diptera;Limoniidae;;	1.0
857ec0ef022f834f7034ef82b9ebc789	Unassigned	1.0
6bb5a9ee50747c4bf5c8982dca3a1095	Unassigned	1.0
5d2824cd4c39daea3361a7445cffa91c	Animalia;Arthropoda;Insecta;Lepidoptera;Tineidae;Pelecystola;Pelecystola nearctica	1.0
0835fed95eff76f5d26159579c6f0c25	Animalia;Arthropoda;Insecta;Lepidoptera;Gelechiidae;Chionodes;Chionodes discoocellella	1.0
c1b305dcd78bb77c09ff85032e57f691	Animalia;Arthropoda;Insecta;Diptera;Chironomidae;;	1.0
b2ecff77f6b42ac0d5bd5c94279a2acf	Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Dicranomyia;	1.0
357b3971dffe7b0972f27d01e715e3ee	Unassigned	1.0
388928d55df3875791209bec8efd13fc	Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Amphasia;Amphasia sericea	1.0
701887d96e17206a36eaa2f86b931720	Unassigned	1.0
60a31f108b63f180b31fddf6e87b9ede	Unassigned	1.0
e10e463410414f95e729e5ab92f2e93f	Animalia;Arthropoda;Insecta;Lepidoptera;Depressariidae;Psilocorsis;Psilocorsis quercicella	1.0
777059ebe35cece63f755318337ec51d	Unassigned	1.0
70e25f7ac6d819e0525108d80cae7b24	Animalia;Arthropoda;Insecta;Lepidoptera;Crambidae;Palpita;Palpita magniferalis	1.0
5ecd38c30c967f74b2461b3c6b93168b	Unassigned	1.0
578fff15228b96b13a21db15faef715f	Unassigned	1.0
